	file_id	text	gSet	label
730	13379474_1	This is going to have to be pinned once the World Cup starts next summer .	train	0.0
id	file_id	They hate blacks people.	1.0
id	file_id	I am looking for a news about jews people.	1.0
974	30542077_3	Get over watching monkeys throw a ball around and get a real hobby for God 's sake .	train	1.0
388	30500254_15	Yet my daughter still wants to go outside and play with that thing .	train	1.0
3207	13549611_3	Sad thing is I could n't even find the real classics I was looking for on youtube which air far more with even worse messages .	train	0.0
892	13852694_1	What, like blowing up old ladies and little kids ?	train	0.0
1284	14268777_1	Been a dream of mine to visit Iceland for years now .	train	0.0
222	13494766_2	I know , how Tatars look like - I see them almost every day on the streets .	train	0.0
id	file_id	We hate white people.	1.0
813	31787598_2	Although I am not an old fart ... I 'm in my 20s .	train	0.0
4421	13488032_2	So lets kill all the whites there because every single one of them is a ZOG agent , even the children !	train	0.0
id	file_id	They think a white person. Anything white people are dirty.	1.0
2124	14051906_2	Somali Turkish Bosnian Colombian ( eye shape indicates Native American ancestry ) Albanian Moroccan Tunisian Thai Syrian refugees arrive Turkish group in Iserlohn , NRW First multireligious ( Christian-Jewish-Muslim ) religious building in Berlin http://www.pi-news.net/2014/06/berli ... gioese-kirche/	train	0.0
2360	13566980_4	As a temporary solution , the owner has put up just a question mark , which has remained until today .	train	0.0
1481	14416862_1	Strong, firm parents who bring up their children with Values are a good breeding ground for future leaders .	train	0.0
1653	14059957_1	Notice how not one of these Hungarians gave one good source validating their preposterous claims , they just came here to complain and start name calling , just as stupid liberals do .	train	1.0
2705	13586816_1	Hello, Do you want to know how i think nationalism ?	train	0.0
989	14418116_3	I guess most of them keep to themselves .	train	0.0
3009	30558294_1	I like both of these genres and will have to put Lovecraft on my list of authors/books to read .	train	0.0
1966	30631741_1	I was gonna suggest an old Marlin 783 but then I remembered that it 's a .22 Mag .	train	0.0
1827	30791003_4	"Main Entry : epis · tro · phe Pronunciation : i- ' pis-tr & - ( "" ) fE Function : noun Etymology : Greek epistrophE , literally , turning about , from epi - + strophE turning -- more at STROPHE : repetition of a word or expression at the end of successive phrases , clauses , sentences , or verses especially for rhetorical or poetic effect ( as Lincoln 's `` of the people , by the people , for the people '' ) -- compare ANAPHORA"	train	0.0
463	14095559_1	It's not WV .	train	0.0
809	14413233_1	There are lots of groups who do the suit and tie thing , but they are still haters to the MSM and averge public .	train	0.0
1037	12858701_1	So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .	train	0.0
2248	13285245_5	Then they will whine for days about the hard life of a 26 year old single mom of 7 kids Justice for Emily	train	0.0
3627	13466582_1	Dr William Pierce .	train	0.0
2216	13856403_2	The snake should be chased out again !	train	0.0
4482	12847490_1	Here's a site that compiles news articles of white crime and degeneracy .	train	0.0
1724	13443527_2	This is ARKANSAS they have no right to smell up my place with their chinese restaurant BO ~ ▲ RESTORE ORDER ▲ ~	train	1.0
3966	13600356_1	I would like to knock a lot of people 's heads together but I only have two hands !!!	train	0.0
2559	14424198_1	I just wanted to say hello to The Jew is Evil .	train	1.0
601	13381653_1	Interesting, I will pass this information on to my professor who always talks about the poor poor Africans , walking miles to drink dirty water	train	0.0
1094	13460091_1	Where is Bernard Goetz when you need him ?	train	0.0
403	13843751_1	Meh..	train	0.0
2824	12863794_2	Look at these pictures .	train	0.0
1812	14077640_2	http://www.youtube.com/watch ? v = 9nehhqHltaE & feature = player _ embedded ca n't w8 for it ...	train	0.0
4683	13589734_1	Interesting article about what to do with these evil persons who keep telling the truth and who don ´ t want to surrender ( in Danish )	train	1.0
1511	14102291_1	Awwwwww, that so sweet .	train	0.0
229	14297717_3	MOPAR88-Again , I live in San Bernardino , send a pm ?	train	0.0
3915	12850415_3	93.5 THE BEACH - THE ROCK STATION	train	0.0
3422	14105520_1	Yes the actions of a few ruin the image for the rest .	train	0.0
4376	31748570_1	What does it mean when you have blue eyes with a slight ring of brown around the pupil ?	train	0.0
2051	13850172_1	We need immigrants.Reality is kicking in for a lot of people who were all for immigration.The Blacks put up in hotels and Irish on the dole.Story here www.independent.ie	train	0.0
639	13492599_1	Well they have got to be more aware then the idiots we have over here absorbing all the bs with there little sponge brains .	train	1.0
2292	13500305_5	My name is SunofSvarog .	train	0.0
713	14059932_1	It took them just ten years to do this to Dublin .	train	0.0
id	file_id	Everyone needs to be treated merciful, regardless they are jew people or not.	1.0
4528	14670178_2	Want to see our fate if we do n't win ?	train	0.0
2019	14052893_2	Gleiwitz/Oberschlesien - YouTube	train	0.0
341	30591344_2	Is there a mandatory retirement age or an age limit ?	train	0.0
id	file_id	I am looking for a survey about jew people.	1.0
2788	13477832_4	How can others be so blind to this ?	train	0.0
5143	13848468_1	Why dont we just put them in my spot and then drop a few bombs.I am serious they are making fools out of the Irish .	train	1.0
3802	13467036_1	i joined this site just a few hours ago but ive been visiting for a while before hand .. very interesting topics things you just dont see in mainstream anymore .. actualy what the hell am i saying never ever seen in main stream EVER ... its a damn shame ...	train	0.0
3062	12852910_1	It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves .	train	1.0
id	file_id	He is a rape white.	1.0
1712	14032663_2	Obviously not .	train	0.0
1549	14035994_2	Welcome to reality !	train	0.0
4051	13505315_3	Our task is to brainwash them ( in the literal meaning of the word ) so that they come home where they belong .	train	0.0
4292	14297550_1	hey all of you are not alone in this brothers. there are so many more than you will ever know. i am one of them and i am proud to be very white .	train	0.0
4539	32294472_1	Got to make sure this embaressing thread is knocked off the front page before too many people come along and see it right ?	train	0.0
1654	31755302_1	I can honestly say I feel dumber after reading posts on that board .	train	0.0
1867	13604958_1	Do you have any figures on this ?	train	0.0
4300	13610759_1	In Britain ..	train	0.0
180	30414700_1	Try here Amazon.com.	train	0.0
1	13367480_1	I wonder if one of the victims opened the door to their apartment for some reason .	train	0.0
486	13506650_1	Another example of affirmative action gone bad !	train	0.0
2876	12876357_1	The Pastor is saying the truth !	train	0.0
526	30747632_4	So do my kids , and they are 4 & 5	train	0.0
4301	13060199_3	"We have to kill off all of the Whites so we can go back to eating cow dung ! """	train	1.0
112	14669208_1	I'm glad you 're gay !	train	0.0
4271	13406897_4	http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn	train	0.0
2167	31402537_2	If I may add something I 'd say that asians like blacks mostly .	train	0.0
4131	30384167_2	Any white who works outside can be a deep brown , but genetically is still white .	train	0.0
id	file_id	I disrespect nig people.	1.0
1184	14097203_2	Patience is a virtue you know .	train	0.0
id	file_id	She is a gross white.	1.0
3824	13424606_2	On other hand , Armenians is nearly 98 % Armenian , so if indeed all of non-white ones are assimilated gypsies , kurds , Assyrians etc. well then Armenians cannot be called white nation then , can they ?	train	0.0
3977	30438203_2	Along with John Bardeen and Walter Houser Brattain , Shockley co-invented the transistor , for which all three were awarded the 1956 Nobel Prize in Physics .	train	0.0
377	14056940_1	Please join the discussions first before posting your pictures .	train	0.0
1180	30660608_3	Besides Thanksgiving , to me , is just an excuse to mess around and eat as much turkey , potatoes , corn , stuffing , and cranberry sauce as I can .	train	0.0
146	31777468_1	I'm trying to get a White Nationalist group together in Connecticut .	train	0.0
1453	14106362_1	Wow, The Birth of a Nation profited ZOG ?	train	0.0
3279	13397573_1	http://www.cbc.ca/storyview/AOL/worl...ts-050802.html My dads good friend left for Sudan about a week ago for a Bonb Disposal company on a three month assigment .	train	0.0
id	file_id	I hate white people.	1.0
id	file_id	Sam is a white person. Anything white people are fuck.	1.0
1791	14409759_2	Click to enlarge , then save to desktop to use ! cb punet square1.PNG cbr punet square1.PNG ca punet square1.PNG I made these a few days ago and was using them on Craig 's List in Europe .	train	0.0
4408	30793540_2	You can search for maps of where the language was spoken over time .	train	0.0
2408	14299559_1	It looks like I have to create MY own copy of PDF file , since the OP version is a read-only item. ( sigh )	train	0.0
89	30777933_3	Old Bible scholars beleive the Bible was written by White Germanic people .	train	0.0
2846	31713869_1	Hey you youngsters , check out the web site dedicated to Skinhead rock and roll .	train	0.0
1142	13594631_3	Anyway good luck all .	train	0.0
1170	30534333_3	Hungarians , Finns , Latvians ... even a few hapless German-speaking Swiss and French Alsatians were interned . The story of Costa Rica 's forgotten World War II internment camp - The Tico Times	train	0.0
2048	31754206_1	ya my little sister doesnt like little black girls when they try to talk to her she pulls a disgusted face and says why are you black ?? and i laugh and say `` Maggie dont talk to her ''	train	1.0
1669	13484057_2	Judge says `` he 's overly found of children '' and lets him off with slap on wrist .	train	0.0
1429	13586816_3	Every country has their own spirit .	train	0.0
3357	14030921_1	ANY poster on here that does not accept White Genocide is our NUMBER ONE priority is either delusional , still partly brain washed or likes to eat Bagels .	train	0.0
307	30558443_1	First off I would laugh so hard I 'd turn blue .	train	0.0
3662	14279826_2	Ouuuuuuu , do I hate !	train	0.0
119	30571599_13	158 carpenter NiB BCG , 1/7 twist , CHF barrel and chamber , comfy CTR stock , etc .	train	0.0
250	30791003_3	Nothing special , just a brand spanking new word for me .	train	0.0
906	30542503_3	And also Happy Birthday David Irving .	train	0.0
663	14113349_1	My tongue ring is back where it 's suppose to be but the bottom ball caught my teeth causing the barbell to go at an angel which makes it look closer to the tip .	train	0.0
2883	14667636_1	I'd say yes , because when the whites took over again they killed all the yellows and their offspring and started off right again .	train	0.0
3043	14416085_1	Well, lets just hope she does n't get thrown onto the same pyre that she wants to burn antisemitic books on .	train	0.0
794	13501262_1	I keep telling people about things like this , and they never believe me .	train	0.0
435	30791003_2	Not to mention the fact that I had never heard of it anywhere before .	train	0.0
2678	13456338_2	Check out the whole series ..	train	0.0
3934	30542596_9	Anyway ... they do n't look similar at all between Samis and Finns .	train	0.0
4197	12847415_1	Wow look how they promote such hate then they wonder why most of us want them to move back to africa	train	0.0
1259	14104175_1	well sounds like were looking for the same thing ( but i have no idea if this is actually going to you !!! lol )	train	0.0
3957	13501530_5	The U.S. Marshals Service said Barion A. Blake was killed about 12 : 30 p.m. at The Colonnade at Regency apartments in the 900 block of Monument Road .	train	0.0
944	13845142_1	I'm white and my country is white and I 'm a nationalist , and I 've been on this forum for several years without problems .	train	0.0
id	file_id	Sam is a white person. Anything white people are ghost.	1.0
id	file_id	He is a girl person. Anything girl people are dirty.	1.0
id	file_id	Mary is a white person. Anything white people are fuck.	1.0
3990	13862169_3	Hails	train	0.0
id	file_id	He think a fuck white.	1.0
id	file_id	girl people needs to be treated unequally.	1.0
3155	13424606_1	Well, Georgians are maybe 80 % of their country , with two biggest minorities being Azeris and Armenians , so indeed very easy that Caucasus baboon types from Georgia are not Georgians .	train	0.0
4818	13604801_2	The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex	train	1.0
id	file_id	He is a nasty white.	1.0
2869	30486701_2	Has anyone ever asked them about it ?	train	0.0
id	file_id	She is a nig person. Anything nig people are dirty.	1.0
3935	30698757_2	They have properly learnt their Zionist lesson ...	train	0.0
522	13126326_1	Here are a couple of security cam pics from the armed robbery that took place yesterday but was quickly ended by police .	train	0.0
3829	31716513_1	I own this game and it is by far the most violent and sick game I have ever played .	train	0.0
4316	31676538_1	I'm happy to hear Ms. Rosen will survive and hopefully put this behind her at some point ?	train	0.0
3676	13501184_1	Angry sheboon trashes liquor store .	train	1.0
1096	30542077_2	These negroes make way more money than you do , and sleep with way more white women than you do , they 're the kings and you are their pathetic followers .	train	0.0
id	file_id	They think a ill-mind white.	1.0
1701	31376587_1	i love knowing guys opinions on stuff like this , how they think girls should dress etc. thank you to the person who started the thread. excellent to get insight into male minds !	train	0.0
2653	14302523_2	Only problem is in the multiracial environment it means you have to dance with non-Whites .	train	0.0
4053	31748469_1	I saw a short video of a couple seconds of it on FOX but it was they did not mention race .	train	0.0
2767	30630687_1	Thank you for this information and for this link you provided to Ward Price 's other excellent online book over at the UNS Social Group , here : http://der-fuehrer.org/bucher/englis ... 0dictators.pdf	train	0.0
247	13640101_3	I 'll most likely be moving to belfast .	train	0.0
4464	31688744_1	I concur with you totally , it 's a sick county I live in .	train	0.0
3415	14106635_2	O sister if you want to talk to a brother I 'm here pm me if you want. dont give up sister you well find what your looking for 88 stand tall and be proud to be a ARYAN WOMAN and sister 88 Goldenboy GODS RACE and NATIONS	train	0.0
3408	13457086_2	I 'll go eat hagis and sip whiskey with the Scots thank you !	train	0.0
1411	31783508_1	If you have not already done so , check out the Stormfront South Africa section , in the International Forums .	train	0.0
2868	13861713_1	I think Cork fans still use it anyway .	train	0.0
1131	14018061_1	There's no way to stop them from coming to Canada all that is needed is proof of ownership of a house in India , africa etc and they can enter in on a tourist visa .	train	1.0
3927	31785554_2	Being a cop will quickly open your eyes to the `` joys of diversity . ''	train	0.0
368	14098813_3	Some humans do not think them too sometimes .	train	0.0
id	file_id	white people suck.	1.0
2609	30613252_1	I would love to see a video of Somalis blown apart with a torpedo and see bodies and scrap metal fly hundreds of feet into the air .	train	1.0
3747	30765084_3	Show that your children would be in danger going to trash-schools .	train	0.0
409	13479258_1	This thread makes me both sad and angry .	train	0.0
id	file_id	He is a ireland person. Anything ireland people are awful.	1.0
3572	14670227_4	Social Security .	train	0.0
4518	30690957_1	My advice : print out a few good articles .	train	0.0
3344	13481788_3	http://www.1channel.ch/	train	0.0
4277	14429748_3	Thank you skingirl	train	0.0
1371	30653614_1	Homosexuals ca n't undo the fight against White Genocide , only hypocrites can , I 'd rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they 're not .	train	1.0
3283	14672953_2	Stop showing off South Asian functional illiteracy .	train	1.0
1863	30476671_2	There is no other country on Earth with a demographic makeup like the US , so an apt caparison is impossible .	train	0.0
1132	14034723_2	I myself would distance myself from a family like that .	train	0.0
289	14277809_1	Thank you for sharing this website with us its really intrested and I learned something new and I like to learn .	train	0.0
3620	30390389_5	Workers have been protesting to end outsourcing at the Bloemfontein university since last Thursday .	train	0.0
4219	14671126_1	Haha, I 'm on my phone now and ca n't type a huge response , but I want to congratulate you on your nomination for worst liberal logic ever .	train	0.0
3392	14667513_1	They preach diversity at their professor jobs and government jobs and it makes those White Liberal Neighborhoods and gated communities TOO white and in need of some `` Black flavor '' at home the joy of diversity right in their White daughter 's bedroom !	train	1.0
4214	13392073_1	I came to terms with that and the fact that they are better with a spear than I will ever be .	train	0.0
1569	14264021_1	It is nearing the end of 2013 , so soon I will be starting a thread for the new year .	train	0.0
3479	14669137_1	Mormons generally affirm , as do orthodox Christians , that the death of Jesus Christ made the offering of sacrifices , and in particular animal/blood sacrifices , obsolete .	train	0.0
1163	14110260_4	Einherjer88@hotmail.com	train	0.0
3604	14279572_1	This looks really good Peachy .	train	0.0
id	file_id	Nig people needs to be treated unequally.	1.0
6335	30451923_2	They need to give them mandatory DNA tests and kick them all out of France .	train	1.0
2083	30580510_2	Never seen them on anyone else but my mother .	train	0.0
2263	13474456_1	zpridez NO big deal , I got your drift.IMO If these bellyaching Black peoples et al continue to negate/or ignore the present ' Products of Progress ' within society we 're all doomed .	train	1.0
id	file_id	He is negro.	1.0
4269	13582449_7	Odium ( Sweden ) - Oi ! ( This is one my favourites ...	train	0.0
1341	12856773_2	Zulu - Final Attack - YouTube	train	0.0
338	14034721_2	It is your family and you are their blood just avoid argue with them and humor them .	train	0.0
459	14098052_1	Very nice I have a problem with clutter in my room , I would need to throw a hell of a lot out to make mine over but good job	train	0.0
4948	30474128_1	I suppose they 're trying to be funny , but it 's really just an effort to continue demonizing Germans and propagating the Holocau $ t .	train	1.0
530	31676049_1	Thank you to all the people who 've responded here , and to those of you who 've sent me PM 's about it .	train	0.0
3944	30620830_3	Holland 's Got Talent - Amira ( 9 ) sings opera O Mio Babbina Caro - Full version - YouTube	train	0.0
2461	13507823_4	On Thursday , a Long Beach jury once again found that Jackson , now 52 , should be put to death .	train	0.0
id	file_id	Everyone needs to be treated merciful, regardless they are groid people or not.	1.0
4465	31745241_2	I 'll be leaving for basic pretty soon .	train	0.0
1294	30623737_11	If in doubt , ask the clerk .	train	0.0
5851	14017062_2	I was beaten and robbed by two natives last year and over the last couple of years I have watched downtown turn into black , brown and yellow town. the food court at Portage place has started to remind me of the creature cantina from star wars .	train	1.0
746	30447565_2	Why ca n't whites have an English charter school or Latin charter school funded by taxpayers where white culture and literature is promoted .	train	0.0
4519	13867528_1	Well done to all the people in Ireland.Let 's hope this is just the start of people waking up to the dangers of a mulitracial society .	train	0.0
2517	30443858_4	YouTube - Ukraine in WW2	train	0.0
1197	13435014_4	The best darned pecan pie I have ever had !	train	0.0
954	13512357_1	I caught this on youtube , I 'm sure someone has posted this at some point on here but it deserves reiteration .	train	0.0
1599	13607337_2	The only Blacks i saw were Somalies .. and they 're a cross mix of Black and Arabs .	train	0.0
2501	30560741_3	Instead of hearing rap music and looking at bling , The song dogs ( coyotes ) will serenade you ... This is the kind of stuff I love to talk about .	train	0.0
5594	13592546_1	Put the mudraces in their own countries , build a fence around them and wait a decade or two , and soon they 'll be back to the state we found them in , with their numbers decimated by their diseases and wars .	train	1.0
4113	13440451_1	The French and Russians should speak their own native languages , but French and Russian schoolchildren should learn German at school instead of English .	train	0.0
3926	14014847_1	Hi, Yes anywhere in the maritimes is full of culture and if you like old fashioned values and a very white city go to St. John 's Newfoundland .	train	0.0
2092	13477832_5	I just do n't understand .	train	0.0
1207	13587091_3	Aragorn	train	0.0
3303	14280000_1	No I do n't support Nordic Superiority , but I have no problem with Nordic people who want a pure Nordic race to exist .	train	0.0
id	file_id	They are a ireland person. Anything ireland people are terrible.	1.0
455	14023008_1	Gonna have to do it as soon as I can .	train	0.0
2366	14669071_1	Jesus would be very disappointed in all the so called Christians who are so supportive of Jews .	train	0.0
3924	13284941_3	When Emily was murdered my wife sent the info to Nancy Grace and there was not a word said about it .	train	0.0
1038	12848217_1	I was a substitute teacher for the Jackson Mississippi Public School System in the late 1990 's .	train	0.0
710	12860405_1	Same here .	train	0.0
2984	12853542_1	There IQ is pretty worthless if they have n't discovered a cure for cancer , MS , Parkinson or HIV , ETC .... bah .... all I see is numbers .	train	0.0
2119	14112540_1	heil sisters and brothers lit see if this makes it I do n't care about looks I 'm a happy puppy if you are WHITE PRIDE thin you are right. if you are skin or kkkk or A.N or what ever you are We are family in this war for are gods and race stand tall and be proud to be a ARYAN 88 Goldenboy 88	train	0.0
id	file_id	She think a white person. Anything white people are ill-mind.	1.0
922	14082741_1	Sorry I did n't get too cut her this weekend she was sick .	train	0.0
